% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap3_copo1_air_S21,im:cap3_copo1_air_S21,re:cap3_copo1_water_S21,im:cap3_copo1_water_S21,re:cap3_copo1_0_1plstc_S21,im:cap3_copo1_0_1plstc_S21,re:cap3_copo1_0_5plstc_S21,im:cap3_copo1_0_5plstc_S21,re:cap3_copo1_1plstc_S21,im:cap3_copo1_1plstc_S21,
1.305000000000000E+009,-5.535264611244202E-001,-7.963816523551941E-001,-5.392312338276368E-001,-8.033869593051455E-001,-5.527871420661524E-001,-7.965638800915135E-001,-5.533154514236429E-001,-7.963494168445084E-001,-5.535284576416016E-001,-7.963717903137209E-001,-5.535837839403284E-001,-7.963989210236133E-001,
1.310000000000000E+009,-5.597321391105652E-001,-7.918024659156799E-001,-5.459121406929628E-001,-7.986709153562625E-001,-5.590803213560320E-001,-7.918636479311247E-001,-5.595179993048339E-001,-7.916885939523793E-001,-5.597712543487550E-001,-7.917685720443728E-001,-5.597899976524050E-001,-7.917863799604037E-001,
1.315000000000000E+009,-5.654988884925842E-001,-7.871156930923462E-001,-5.519781230614625E-001,-7.939671973077700E-001,-5.648249670010669E-001,-7.872066474953257E-001,-5.652716430278231E-001,-7.870197355502950E-001,-5.654391978263856E-001,-7.869926080703737E-001,-5.655339735055180E-001,-7.870082840521657E-001,
1.320000000000000E+009,-5.719203352928162E-001,-7.827832698822022E-001,-5.588004350055543E-001,-7.895658539398806E-001,-5.713163352457991E-001,-7.828905740503731E-001,-5.716773249627327E-001,-7.826746268866487E-001,-5.719021277427674E-001,-7.827132369041445E-001,-5.719819054281522E-001,-7.827221242643762E-001,
1.325000000000000E+009,-5.782092809677124E-001,-7.781463861465454E-001,-5.655247094507447E-001,-7.848373034075320E-001,-5.777135988643900E-001,-7.782540241419999E-001,-5.780072808235670E-001,-7.780691853469020E-001,-5.782423160552979E-001,-7.781062651634219E-001,-5.783247403182094E-001,-7.780943167569528E-001,
1.330000000000000E+009,-5.846030712127686E-001,-7.736718654632568E-001,-5.722214284104921E-001,-7.802923752199099E-001,-5.840707684346701E-001,-7.737453552747583E-001,-5.844511956865955E-001,-7.735706596509400E-001,-5.846518261909485E-001,-7.736218046188357E-001,-5.846372487004041E-001,-7.735932536929397E-001,
1.335000000000000E+009,-5.905370712280273E-001,-7.686513662338257E-001,-5.782909889217530E-001,-7.753270522336734E-001,-5.899218201904598E-001,-7.688570903896793E-001,-5.902492030424176E-001,-7.687462926220253E-001,-5.904438377380372E-001,-7.687529027938844E-001,-5.904455167492418E-001,-7.687750796147812E-001,
1.340000000000000E+009,-5.969419479370117E-001,-7.637362480163574E-001,-5.849303054422609E-001,-7.703595267178653E-001,-5.962864225947648E-001,-7.638802236259660E-001,-5.965666818018348E-001,-7.637935558410453E-001,-5.968103499412538E-001,-7.638464026451113E-001,-5.968062544261974E-001,-7.638430259189710E-001,
1.345000000000000E+009,-6.030127406120300E-001,-7.589088082313538E-001,-5.913696383011169E-001,-7.655043182988589E-001,-6.024948600075414E-001,-7.590213579294121E-001,-6.027857891878043E-001,-7.589397444219158E-001,-6.030673818588258E-001,-7.589237479209902E-001,-6.030624861942793E-001,-7.589261371755275E-001,
1.350000000000000E+009,-6.089619994163513E-001,-7.546356320381165E-001,-5.976716692229005E-001,-7.609207485489199E-001,-6.085387170723250E-001,-7.545222963359275E-001,-6.088280708381606E-001,-7.544374633151842E-001,-6.090792409896851E-001,-7.545120816230776E-001,-6.090422256000403E-001,-7.544286525100910E-001,
1.355000000000000E+009,-6.145637631416321E-001,-7.501760125160217E-001,-6.033212386423952E-001,-7.564508650474551E-001,-6.139760955580508E-001,-7.499977163505019E-001,-6.142993997722286E-001,-7.499229714943939E-001,-6.144854672431945E-001,-7.499533088684083E-001,-6.145020578117932E-001,-7.499872912987848E-001,
