% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:Cap3_duto1_air_S21,im:Cap3_duto1_air_S21,re:Cap3_duto1_air_water1_S21,im:Cap3_duto1_air_water1_S21,re:Cap3_duto1_1plstc_S21,im:Cap3_duto1_1plstc_S21,re:Cap3_duto1_0_1plstc_S21,im:Cap3_duto1_0_1plstc_S21,re:Cap3_duto1_0_5plstc_S21,im:Cap3_duto1_0_5plstc_S21,
1.270000000000000E+009,-4.975830744318440E-001,-8.347167729356485E-001,-4.951472296197511E-001,-8.360262052879336E-001,-4.976405372910829E-001,-8.349762547660321E-001,-4.977101734837414E-001,-8.347550636403956E-001,-4.976584315565004E-001,-8.347934590603328E-001,-4.976180784180570E-001,-8.346917155126385E-001,
1.275000000000000E+009,-5.044650301962074E-001,-8.302707344572342E-001,-5.021188786891175E-001,-8.315428962139894E-001,-5.044964679809348E-001,-8.305151981291828E-001,-5.045440671316230E-001,-8.303557235706005E-001,-5.044654346790994E-001,-8.303850555335228E-001,-5.044031365073496E-001,-8.302344514979124E-001,
1.280000000000000E+009,-5.115494929814728E-001,-8.258000645936271E-001,-5.092877733103944E-001,-8.270389089558413E-001,-5.115568522406994E-001,-8.260862249070243E-001,-5.116287824665543E-001,-8.258588534230710E-001,-5.116183959693804E-001,-8.258996196315986E-001,-5.115492334153649E-001,-8.258071180713090E-001,
1.285000000000000E+009,-5.186326426975130E-001,-8.215397548817274E-001,-5.163524795097352E-001,-8.229010240274050E-001,-5.185672857121446E-001,-8.218759877792372E-001,-5.186697045798946E-001,-8.216241126667059E-001,-5.185491603566030E-001,-8.217530015731350E-001,-5.185891488077649E-001,-8.215983088169353E-001,
1.290000000000000E+009,-5.258183868074584E-001,-8.167997061083334E-001,-5.237390469961549E-001,-8.180588710659791E-001,-5.257962128832666E-001,-8.170425264962113E-001,-5.258841412456972E-001,-8.168145348014843E-001,-5.257830366263868E-001,-8.169220331243227E-001,-5.257681331336832E-001,-8.167577503651738E-001,
1.295000000000000E+009,-5.323475635223303E-001,-8.120782666499209E-001,-5.303222114793397E-001,-8.133696867822268E-001,-5.322703840804827E-001,-8.122934810261238E-001,-5.324494217842006E-001,-8.121736250353593E-001,-5.323492643280613E-001,-8.121967895930298E-001,-5.323320644589238E-001,-8.121270018058300E-001,
1.300000000000000E+009,-5.394316520577953E-001,-8.069903262805140E-001,-5.374101580015565E-001,-8.082171134704593E-001,-5.393814778764571E-001,-8.072647306219283E-001,-5.394578801647315E-001,-8.070285478873367E-001,-5.393911932826380E-001,-8.071165543756135E-001,-5.393425543764936E-001,-8.070188577735534E-001,
1.305000000000000E+009,-5.454657122160550E-001,-8.021202788767412E-001,-5.434771150407411E-001,-8.034260676918033E-001,-5.453423443032451E-001,-8.023903905175012E-001,-5.455062228864425E-001,-8.021741896567471E-001,-5.454584252414548E-001,-8.022168035643822E-001,-5.454273657206927E-001,-8.021168647300244E-001,
1.310000000000000E+009,-5.519844869967142E-001,-7.972443677382364E-001,-5.500430457612611E-001,-7.985412162727359E-001,-5.518775318480674E-001,-7.975576691888380E-001,-5.519932799499649E-001,-7.973477977723023E-001,-5.519241112319980E-001,-7.973943132241061E-001,-5.518907552395348E-001,-7.972335894805428E-001,
1.315000000000000E+009,-5.578044493827395E-001,-7.923806553611379E-001,-5.560061187120058E-001,-7.937298706150819E-001,-5.577549429256874E-001,-7.927794428862642E-001,-5.578852948154740E-001,-7.925207934929355E-001,-5.577973254384359E-001,-7.925913998986522E-001,-5.577849335717753E-001,-7.924201939715974E-001,
1.320000000000000E+009,-5.643412324510100E-001,-7.879803304293055E-001,-5.625791527319337E-001,-7.893586710285953E-001,-5.642969405133229E-001,-7.883521111743729E-001,-5.644706303448158E-001,-7.880644991745177E-001,-5.643738586227485E-001,-7.881406554293250E-001,-5.643215296544325E-001,-7.880057290244223E-001,
1.325000000000000E+009,-5.709105434562203E-001,-7.833263586091800E-001,-5.691841788475038E-001,-7.846972467797855E-001,-5.708821175702591E-001,-7.837295788956777E-001,-5.710264554930131E-001,-7.834355844945558E-001,-5.708648062751989E-001,-7.834503342529704E-001,-5.708396559047116E-001,-7.833603468891504E-001,
1.330000000000000E+009,-5.774418335129906E-001,-7.788642546421876E-001,-5.758684410125734E-001,-7.801920021078495E-001,-5.774780678670931E-001,-7.792620364931702E-001,-5.775885050412268E-001,-7.789300232577373E-001,-5.774907359208822E-001,-7.790230463571319E-001,-5.774337657367167E-001,-7.788493957193785E-001,
1.335000000000000E+009,-5.836453560321951E-001,-7.739748583571884E-001,-5.820335321534730E-001,-7.753592022099307E-001,-5.835940940613811E-001,-7.743692145077091E-001,-5.837720782426696E-001,-7.740580103304537E-001,-5.836606766304077E-001,-7.741360054771161E-001,-5.835886378912882E-001,-7.740122216766916E-001,
1.340000000000000E+009,-5.902743084828569E-001,-7.689212538175185E-001,-5.887532201547241E-001,-7.703213000674440E-001,-5.902677498620585E-001,-7.693157893397080E-001,-5.904080902668192E-001,-7.690082418648421E-001,-5.902357415759667E-001,-7.690987250483892E-001,-5.902184745863063E-001,-7.689601745061646E-001,
1.345000000000000E+009,-5.966952464694600E-001,-7.639252302339824E-001,-5.952053118806459E-001,-7.652996470516971E-001,-5.966859668129297E-001,-7.643196232876803E-001,-5.968033715668570E-001,-7.639527234179548E-001,-5.967109396987823E-001,-7.640983182920964E-001,-5.966775442234018E-001,-7.639403744876669E-001,
1.350000000000000E+009,-6.028804644485901E-001,-7.592746581968366E-001,-6.015066734138490E-001,-7.606577452784731E-001,-6.028889256858462E-001,-7.596838149715379E-001,-6.029690199643003E-001,-7.593613518149996E-001,-6.029402282868658E-001,-7.594219797790904E-001,-6.027900170406548E-001,-7.593142395511232E-001,
1.355000000000000E+009,-6.084398333971504E-001,-7.547618789869712E-001,-6.069994982653809E-001,-7.560205360841371E-001,-6.084040034642148E-001,-7.551154261342246E-001,-6.085310816754471E-001,-7.547839398201993E-001,-6.083913235733571E-001,-7.549084373765963E-001,-6.083833005537892E-001,-7.547468088310048E-001,
1.360000000000000E+009,-6.149502822213182E-001,-7.494565005759389E-001,-6.135799105052187E-001,-7.508329638676454E-001,-6.150669062437749E-001,-7.498806514131322E-001,-6.150867570661366E-001,-7.495512898190657E-001,-6.149989678679254E-001,-7.496615422099687E-001,-6.149551495341816E-001,-7.495234696519050E-001,
1.365000000000000E+009,-6.217115557760279E-001,-7.450312564718734E-001,-6.203705634307862E-001,-7.463891120195009E-001,-6.217230513251628E-001,-7.454778069612433E-001,-6.217490978454338E-001,-7.450513660536869E-001,-6.217089456651759E-001,-7.451451090753742E-001,-6.216487310861598E-001,-7.450515459737552E-001,
1.370000000000000E+009,-6.283027695643557E-001,-7.395585291390934E-001,-6.270635891397097E-001,-7.409075461198427E-001,-6.283888835336239E-001,-7.399505412483713E-001,-6.284264226259453E-001,-7.395772127069251E-001,-6.283469200127736E-001,-7.396993318157211E-001,-6.283080001256183E-001,-7.395602194252023E-001,
1.375000000000000E+009,-6.349036707127180E-001,-7.344007022621850E-001,-6.337021590751648E-001,-7.357267103530885E-001,-6.349747334330387E-001,-7.347955959667353E-001,-6.350198803983778E-001,-7.344303889943613E-001,-6.349963947184093E-001,-7.345039453165529E-001,-6.348923884605687E-001,-7.343854382608624E-001,
1.380000000000000E+009,-6.410190859712357E-001,-7.281400345265884E-001,-6.398659952154543E-001,-7.294807478872682E-001,-6.410304337747979E-001,-7.284655274369691E-001,-6.410950781147897E-001,-7.281916290645468E-001,-6.410192778737179E-001,-7.282719382031113E-001,-6.409860287598277E-001,-7.281030300000861E-001,
1.385000000000000E+009,-6.473256292316642E-001,-7.222922142650949E-001,-6.462518949809267E-001,-7.236473813023379E-001,-6.474088289887182E-001,-7.226513114168447E-001,-6.474553125145869E-001,-7.223306840984927E-001,-6.474156510777549E-001,-7.224111036356222E-001,-6.472934292677305E-001,-7.223335007042967E-001,
1.390000000000000E+009,-6.539600566869167E-001,-7.162709785442465E-001,-6.529110674819947E-001,-7.176120939389039E-001,-6.540101210836254E-001,-7.165815042984837E-001,-6.540709500868983E-001,-7.162762806907531E-001,-6.540032813187131E-001,-7.163712609269763E-001,-6.539519950543872E-001,-7.162800147576388E-001,
1.395000000000000E+009,-6.604351164724810E-001,-7.100613462107909E-001,-6.594349380331424E-001,-7.113514175750734E-001,-6.605116358698198E-001,-7.103573087278141E-001,-6.604938800570275E-001,-7.100169933519513E-001,-6.604939195012938E-001,-7.101045167543314E-001,-6.604092829966163E-001,-7.100239419478147E-001,
