% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.345000000000000E+009,-5.998983235339374E-001,-7.688373250235817E-001,-6.105795822773377E-001,-7.631799193650874E-001,-6.108638203921339E-001,-7.619517371174961E-001,-6.111700677871705E-001,-7.615720653533936E-001,
1.350000000000000E+009,-6.061686189825750E-001,-7.637429009786400E-001,-6.165694959568399E-001,-7.580865033331210E-001,-6.168868401520652E-001,-7.568969805116195E-001,-6.172076749801637E-001,-7.565658187866212E-001,
1.355000000000000E+009,-6.124747686528100E-001,-7.587583089062460E-001,-6.226863795207783E-001,-7.530326999735977E-001,-6.229239141824868E-001,-7.518671389622516E-001,-6.232487463951112E-001,-7.515875363349915E-001,
1.360000000000000E+009,-6.190454186006786E-001,-7.537683861700910E-001,-6.291195970402885E-001,-7.480359157547989E-001,-6.293663776181938E-001,-7.469579056825945E-001,-6.297114706039430E-001,-7.465864706039429E-001,
1.365000000000000E+009,-6.254612385053092E-001,-7.486738265227344E-001,-6.353876128308602E-001,-7.429728991270166E-001,-6.356334213730237E-001,-7.418055249038374E-001,-6.358617496490480E-001,-7.414785623550415E-001,
1.370000000000000E+009,-6.323636513147569E-001,-7.434395467413362E-001,-6.420196817634883E-001,-7.377350968835316E-001,-6.422399148421739E-001,-7.366037093684895E-001,-6.425647449493408E-001,-7.362076735496521E-001,
1.375000000000000E+009,-6.387141880329447E-001,-7.378880397743440E-001,-6.481684943303485E-001,-7.322443753615201E-001,-6.484148753474959E-001,-7.310536915190321E-001,-6.487373042106629E-001,-7.307515621185304E-001,
1.380000000000000E+009,-6.453721568846101E-001,-7.321724876573271E-001,-6.546983667324098E-001,-7.266167524731950E-001,-6.548794675951770E-001,-7.253682823757800E-001,-6.551835513114930E-001,-7.250244069099426E-001,
1.385000000000000E+009,-6.519734071701857E-001,-7.258445459233365E-001,-6.611680631590933E-001,-7.202433313966989E-001,-6.612930439434263E-001,-7.190268252789672E-001,-6.616313290596010E-001,-7.186612987518311E-001,
1.390000000000000E+009,-6.584108906892319E-001,-7.196628285819022E-001,-6.673584231957060E-001,-7.140705176299482E-001,-6.675167468790267E-001,-7.127970131312873E-001,-6.678309679031372E-001,-7.124199509620667E-001,
1.395000000000000E+009,-6.648695196118508E-001,-7.133924540519611E-001,-6.736688377904155E-001,-7.078721537946132E-001,-6.739387860159330E-001,-7.065666526091751E-001,-6.742384934425355E-001,-7.061671996116640E-001,
1.400000000000000E+009,-6.713942427781925E-001,-7.070713611806420E-001,-6.799738011964878E-001,-7.015575188561901E-001,-6.801662374586158E-001,-7.002053917203072E-001,-6.805615901947022E-001,-6.998654484748841E-001,
1.405000000000000E+009,-6.778234581540270E-001,-7.004317315611799E-001,-6.861915964285882E-001,-6.949901625566028E-001,-6.865296340868254E-001,-6.935340577867738E-001,-6.868180608749390E-001,-6.932578325271608E-001,
1.410000000000000E+009,-6.843070379240416E-001,-6.941180040274917E-001,-6.925517392022960E-001,-6.886408165283109E-001,-6.929408417805998E-001,-6.871682419340031E-001,-6.932346367836000E-001,-6.868531036376953E-001,
1.415000000000000E+009,-6.905522471976713E-001,-6.878333805198986E-001,-6.986868351050107E-001,-6.823711753468790E-001,-6.990057335384410E-001,-6.808749925955898E-001,-6.993318676948548E-001,-6.805802249908448E-001,
1.420000000000000E+009,-6.966841171761764E-001,-6.814140939859442E-001,-7.045758046911492E-001,-6.759213496832240E-001,-7.049996015797791E-001,-6.744817168366155E-001,-7.051890301704408E-001,-6.741119289398194E-001,
1.425000000000000E+009,-7.030460218309483E-001,-6.749611914156695E-001,-7.107435601986660E-001,-6.694822806139337E-001,-7.111182727184661E-001,-6.679702224042283E-001,-7.114573454856873E-001,-6.676171064376832E-001,
1.430000000000000E+009,-7.085516366349839E-001,-6.687904840648293E-001,-7.161106782497564E-001,-6.632751630992464E-001,-7.165469854542919E-001,-6.617699007181062E-001,-7.168012094497681E-001,-6.614192938804627E-001,
1.435000000000000E+009,-7.140749705640233E-001,-6.619878786576419E-001,-7.215242169856211E-001,-6.564605106200429E-001,-7.219171377012313E-001,-6.548935792696831E-001,-7.222119688987732E-001,-6.545969915390015E-001,
1.440000000000000E+009,-7.198843010554458E-001,-6.560420846872030E-001,-7.271910817848055E-001,-6.505896003779460E-001,-7.275638585885514E-001,-6.489811702420554E-001,-7.278648376464845E-001,-6.486432218551637E-001,
1.445000000000000E+009,-7.256272417107049E-001,-6.498277240657043E-001,-7.327591993132323E-001,-6.443833229083813E-001,-7.331166227773185E-001,-6.427365451576260E-001,-7.334841179847719E-001,-6.423860001564028E-001,
1.450000000000000E+009,-7.314780368686084E-001,-6.436551756943003E-001,-7.384964909635376E-001,-6.380660433632046E-001,-7.388307138864378E-001,-6.364561907682675E-001,-7.392218041419985E-001,-6.360940122604371E-001,
