% Version 1.00
%
%freq[Hz],re:Trc14_S21,im:Trc14_S21,re:cap1_copo2_0_1diverso_S21,im:cap1_copo2_0_1diverso_S21,re:cap1_copo2_0_1diverso_tam_S21,im:cap1_copo2_0_1diverso_tam_S21,re:cap1_copo2_0_1azul_S21,im:cap1_copo2_0_1azul_S21,
1.350000000000000E+009,-6.099114586729286E-001,-7.531846918461866E-001,-6.103187993625650E-001,-7.512451600879410E-001,-6.106850350526017E-001,-7.524417870669418E-001,-6.098704027017662E-001,-7.532526185916348E-001,
1.355000000000000E+009,-6.153581954131051E-001,-7.485430815699931E-001,-6.156864596457133E-001,-7.467151998301603E-001,-6.161680740700345E-001,-7.478123766750477E-001,-6.153678715483451E-001,-7.486095502465709E-001,
1.360000000000000E+009,-6.219651152203916E-001,-7.432053322331226E-001,-6.222981786330060E-001,-7.414556225135679E-001,-6.227988856645464E-001,-7.424290195314777E-001,-6.219818748363105E-001,-7.432642392071890E-001,
1.365000000000000E+009,-6.285419944947693E-001,-7.386866117942508E-001,-6.288632292775441E-001,-7.369964910807341E-001,-6.293691050980038E-001,-7.377659222431602E-001,-6.285798002373019E-001,-7.386408973594456E-001,
1.370000000000000E+009,-6.350806619844225E-001,-7.329868049472574E-001,-6.354172109834688E-001,-7.313898697869689E-001,-6.359211404703848E-001,-7.321526879158885E-001,-6.351117021872673E-001,-7.330351686886640E-001,
1.375000000000000E+009,-6.416340401196247E-001,-7.276380669038833E-001,-6.419676030940072E-001,-7.261026021537508E-001,-6.424229443920178E-001,-7.267950607058076E-001,-6.416317455538660E-001,-7.276977191971890E-001,
1.380000000000000E+009,-6.475116669348623E-001,-7.212261285983144E-001,-6.478478399542597E-001,-7.197095652756539E-001,-6.483123109698025E-001,-7.203147716652856E-001,-6.475400737686767E-001,-7.212767568418981E-001,
1.385000000000000E+009,-6.536988227408070E-001,-7.152157054829086E-001,-6.541127528822586E-001,-7.137441651288922E-001,-6.545782526011194E-001,-7.143072239769090E-001,-6.537129392382572E-001,-7.152778555496162E-001,
1.390000000000000E+009,-6.601124304075030E-001,-7.090094635928219E-001,-6.605999303594859E-001,-7.075011965174257E-001,-6.609512323091122E-001,-7.079984761606791E-001,-6.601656728439131E-001,-7.090240020611515E-001,
1.395000000000000E+009,-6.664139314757485E-001,-7.025572934038076E-001,-6.669673979347845E-001,-7.010908311522056E-001,-6.672814585819076E-001,-7.015036567657854E-001,-6.664619885605699E-001,-7.025543026279408E-001,
1.400000000000000E+009,-6.725818772944329E-001,-6.957037753796278E-001,-6.731782796217884E-001,-6.942499614084130E-001,-6.734119248912369E-001,-6.946599807873800E-001,-6.726149544038220E-001,-6.957277645059508E-001,
1.405000000000000E+009,-6.786746885552814E-001,-6.899081726387655E-001,-6.794673008175409E-001,-6.884518010183138E-001,-6.795038096024533E-001,-6.888174731519166E-001,-6.787123222839450E-001,-6.898338948385386E-001,
1.410000000000000E+009,-6.854120984222156E-001,-6.834795224776527E-001,-6.862813538730945E-001,-6.819922815593754E-001,-6.862906853220613E-001,-6.823600884951383E-001,-6.854237321924209E-001,-6.835158284656908E-001,
1.415000000000000E+009,-6.909875252099501E-001,-6.767756754191584E-001,-6.920194469038822E-001,-6.752627770242283E-001,-6.918500595793211E-001,-6.755129322165272E-001,-6.909660149378004E-001,-6.767588622940967E-001,
1.420000000000000E+009,-6.972158075394767E-001,-6.700197178396052E-001,-6.985555545096035E-001,-6.684302605246468E-001,-6.981800809039160E-001,-6.687448156239813E-001,-6.972660144191186E-001,-6.700105804300549E-001,
1.425000000000000E+009,-7.023342459781067E-001,-6.633168122468710E-001,-7.038821868874157E-001,-6.616610603395634E-001,-7.031854500884739E-001,-6.619999566278607E-001,-7.022751401184956E-001,-6.633603546459678E-001,
1.430000000000000E+009,-7.079800684471607E-001,-6.572431905374504E-001,-7.098703015566219E-001,-6.553223861063697E-001,-7.088259660466274E-001,-6.557444847975088E-001,-7.079189892777492E-001,-6.572218076941219E-001,
1.435000000000000E+009,-7.132560952677350E-001,-6.507742691755427E-001,-7.155990044853651E-001,-6.485691604995670E-001,-7.141520824033850E-001,-6.492149112663266E-001,-7.133041027159541E-001,-6.508130609060681E-001,
1.440000000000000E+009,-7.179670621189344E-001,-6.444834956286651E-001,-7.206312901728486E-001,-6.416847048065845E-001,-7.188458143254326E-001,-6.428340631072292E-001,-7.179975971276426E-001,-6.444613613578526E-001,
1.445000000000000E+009,-7.230831853687042E-001,-6.387595551112968E-001,-7.260143484638983E-001,-6.352962731200467E-001,-7.239587579006085E-001,-6.370661430592453E-001,-7.230979354955569E-001,-6.387947896032057E-001,
1.450000000000000E+009,-7.286290631394700E-001,-6.327232709648049E-001,-7.316046666724239E-001,-6.282635752307312E-001,-7.295296476392772E-001,-6.308332538168803E-001,-7.287095953902032E-001,-6.327256587364698E-001,
1.455000000000000E+009,-7.341315003516087E-001,-6.265321601492675E-001,-7.368527346987346E-001,-6.212165069755073E-001,-7.350707463811221E-001,-6.245207865175833E-001,-7.341199374417999E-001,-6.265643791866055E-001,
1.460000000000000E+009,-7.386562618005128E-001,-6.213563556982483E-001,-7.408932807544072E-001,-6.151367824474590E-001,-7.395635813179984E-001,-6.191162503832282E-001,-7.386452704055172E-001,-6.213848616136506E-001,
1.465000000000000E+009,-7.441399985471617E-001,-6.156028703401706E-001,-7.457501204757928E-001,-6.085573761258487E-001,-7.450056519284501E-001,-6.131261816028230E-001,-7.442202039121262E-001,-6.155446234382919E-001,
1.470000000000000E+009,-7.497159554873070E-001,-6.094103311480132E-001,-7.505912858085184E-001,-6.015768432298155E-001,-7.505519746396686E-001,-6.065734766484242E-001,-7.497223251909974E-001,-6.093754572796046E-001,
1.475000000000000E+009,-7.543047361644054E-001,-6.034516114525144E-001,-7.541404364142972E-001,-5.951054615928577E-001,-7.550711412096376E-001,-6.003498510608671E-001,-7.542974451020061E-001,-6.035044025663652E-001,
1.480000000000000E+009,-7.598893173334252E-001,-5.966264535661987E-001,-7.585349883694874E-001,-5.875935114706770E-001,-7.603522113715133E-001,-5.931144536641366E-001,-7.598708317106065E-001,-5.966025530983266E-001,
1.485000000000000E+009,-7.649295431472332E-001,-5.908657890637468E-001,-7.619470884860499E-001,-5.812850075804327E-001,-7.651021727371131E-001,-5.868413280884206E-001,-7.649538315870185E-001,-5.908028701655528E-001,
